ell,DeltaCl_over_Cl_A_percent,DeltaCl_over_Cl_B_percent
267,-4.178711238146417e-27,-1.2536133714439252e-26
268,-4.207265283738624e-27,-1.2621795851215872e-26
269,-4.235896490772006e-27,-1.2707689472316019e-26
270,-4.2646046656915206e-27,-1.2793813997074564e-26
271,-4.293389615217845e-27,-1.2880168845653533e-26
272,-4.322251146347051e-27,-1.2966753439041154e-26
273,-4.351189066350295e-27,-1.3053567199050886e-26
274,-4.380203182773505e-27,-1.3140609548320514e-26
275,-4.409293303437059e-27,-1.3227879910311176e-26
276,-4.438459236435474e-27,-1.331537770930642e-26
277,-4.467700790137089e-27,-1.3403102370411266e-26
278,-4.497017773183753e-27,-1.349105331955126e-26
279,-4.526409994490512e-27,-1.3579229983471537e-26
280,-4.555877263245291e-27,-1.3667631789735874e-26
281,-4.5854193889085836e-27,-1.375625816672575e-26
282,-4.615036181213141e-27,-1.3845108543639425e-26
283,-4.644727450163655e-27,-1.3934182350490965e-26
284,-4.6744930060364476e-27,-1.4023479018109343e-26
285,-4.7043326593791604e-27,-1.411299797813748e-26
286,-4.734246221010441e-27,-1.4202738663031325e-26
287,-4.764233502019631e-27,-1.4292700506058894e-26
288,-4.79429431376646e-27,-1.438288294129938e-26
289,-4.824428467880726e-27,-1.447328540364218e-26
290,-4.8546357762619904e-27,-1.4563907328785973e-26
291,-4.884916051079275e-27,-1.4654748153237824e-26
292,-4.915269104770734e-27,-1.4745807314312203e-26
293,-4.945694750043363e-27,-1.483708425013009e-26
294,-4.976192799872677e-27,-1.4928578399618032e-26
295,-5.0067630675024096e-27,-1.5020289202507228e-26
296,-5.0374053664442004e-27,-1.51122160993326e-26
297,-5.068119510477289e-27,-1.520435853143187e-26
298,-5.098905313648201e-27,-1.5296715940944606e-26
299,-5.129762590270453e-27,-1.5389287770811358e-26
300,-5.1606911549242324e-27,-1.5482073464772697e-26
301,-5.1916908224560936e-27,-1.557507246736828e-26
302,-5.2227614079786606e-27,-1.5668284223935982e-26
303,-5.253902726870307e-27,-1.5761708180610922e-26
304,-5.285114594774859e-27,-1.5855343784324579e-26
305,-5.316396827601287e-27,-1.5949190482803862e-26
306,-5.347749241523398e-27,-1.6043247724570195e-26
307,-5.3791716529795375e-27,-1.613751495893861e-26
308,-5.410663878672277e-27,-1.6231991636016828e-26
309,-5.4422257355681094e-27,-1.6326677206704327e-26
310,-5.473857040897154e-27,-1.6421571122691462e-26
311,-5.505557612152845e-27,-1.6516672836458536e-26
312,-5.537327267091625e-27,-1.6611981801274875e-26
313,-5.5691658237326514e-27,-1.6707497471197955e-26
314,-5.6010731003574876e-27,-1.6803219301072463e-26
315,-5.6330489155097995e-27,-1.68991467465294e-26
316,-5.6650930879950575e-27,-1.6995279263985173e-26
317,-5.6972054368802276e-27,-1.7091616310640685e-26
318,-5.729385781493479e-27,-1.7188157344480437e-26
319,-5.761633941423875e-27,-1.7284901824271624e-26
320,-5.7939497365210734e-27,-1.7381849209563222e-26
321,-5.82633298689503e-27,-1.747899896068509e-26
322,-5.858783512915695e-27,-1.7576350538747084e-26
323,-5.891301135212711e-27,-1.7673903405638133e-26
324,-5.923885674675117e-27,-1.777165702402535e-26
325,-5.956536952451046e-27,-1.786961085735314e-26
326,-5.989254789947429e-27,-1.7967764369842284e-26
327,-6.022039008829689e-27,-1.806611702648907e-26
328,-6.0548894310214524e-27,-1.816466829306436e-26
329,-6.087805878704245e-27,-1.826341763611274e-26
330,-6.1207881743171926e-27,-1.8362364522951579e-26
331,-6.153836140556726e-27,-1.846150842167018e-26
332,-6.186949600376283e-27,-1.856084880112885e-26
333,-6.220128376986012e-27,-1.8660385130958035e-26
334,-6.253372293852475e-27,-1.8760116881557425e-26
335,-6.2866811746983465e-27,-1.886004352409504e-26
336,-6.3200548435021286e-27,-1.8960164530506385e-26
337,-6.3534931244978384e-27,-1.9060479373493515e-26
338,-6.386995842174733e-27,-1.9160987526524198e-26
339,-6.4205628212769974e-27,-1.9261688463830993e-26
340,-6.4541938868034496e-27,-1.936258166041035e-26
341,-6.487888864007266e-27,-1.9463666592021797e-26
342,-6.521647578395658e-27,-1.9564942735186973e-26
343,-6.555469855729601e-27,-1.9666409567188805e-26
344,-6.589355522023532e-27,-1.97680665660706e-26
345,-6.623304403545057e-27,-1.986991321063517e-26
346,-6.657316326814647e-27,-1.9971948980443942e-26
347,-6.691391118605372e-27,-2.007417335581612e-26
348,-6.725528605942584e-27,-2.0176585817827752e-26
