ell,Delta_Cl_over_Cl_A,Delta_Cl_over_Cl_B
1344,-0.0005461814085937348,-0.001638544225781204
1345,-0.000546629939456817,-0.0016398898183704511
1346,-0.0005470782338262939,-0.0016412347014788818
1347,-0.0005475262914156822,-0.0016425788742470465
1348,-0.0005479741119392543,-0.001643922335817763
1349,-0.0005484216951120368,-0.0016452650853361103
1350,-0.0005488690406498089,-0.0016466071219494267
1351,-0.0005493161482691017,-0.0016479484448073051
1352,-0.0005497630176871979,-0.0016492890530615937
1353,-0.0005502096486221294,-0.0016506289458663882
1354,-0.0005506560407926769,-0.0016519681223780306
1355,-0.0005511021939183694,-0.0016533065817551078
1356,-0.0005515481077194818,-0.0016546443231584451
1357,-0.0005519937819170351,-0.0016559813457511052
1358,-0.0005524392162327952,-0.0016573176486983853
1359,-0.000552884410389271,-0.001658653231167813
1360,-0.000553329364109714,-0.0016599880923291422
1361,-0.0005537740771181176,-0.0016613222313543528
1362,-0.0005542185491392151,-0.0016626556474176452
1363,-0.0005546627798984791,-0.0016639883396954373
1364,-0.0005551067691221213,-0.001665320307366364
1365,-0.00055555051653709,-0.00166665154961127
1366,-0.0005559940218710698,-0.0016679820656132095
1367,-0.0005564372848524811,-0.0016693118545574432
1368,-0.0005568803052104777,-0.001670640915631433
1369,-0.0005573230826749472,-0.0016719692480248413
1370,-0.0005577656169765089,-0.0016732968509295268
1371,-0.0005582079078465135,-0.0016746237235395404
1372,-0.0005586499550170415,-0.0016759498650511242
1373,-0.0005590917582209026,-0.0016772752746627077
1374,-0.0005595333171916344,-0.0016785999515749029
1375,-0.0005599746316635014,-0.0016799238949905043
1376,-0.0005604157013714946,-0.0016812471041144838
1377,-0.000560856526051329,-0.001682569578153987
1378,-0.0005612971054394443,-0.0016838913163183327
1379,-0.0005617374392730026,-0.0016852123178190076
1380,-0.000562177527289888,-0.001686532581869664
1381,-0.0005626173692287055,-0.0016878521076861164
1382,-0.0005630569648287798,-0.0016891708944863396
1383,-0.0005634963138301548,-0.0016904889414904641
1384,-0.0005639354159735913,-0.0016918062479207739
1385,-0.0005643742710005677,-0.0016931228130017029
1386,-0.0005648128786532778,-0.0016944386359598331
1387,-0.0005652512386746301,-0.0016957537160238903
1388,-0.0005656893508082471,-0.0016970680524247411
1389,-0.0005661272147984638,-0.001698381644395391
1390,-0.0005665648303903266,-0.0016996944911709796
1391,-0.0005670021973295932,-0.0017010065919887795
1392,-0.0005674393153627306,-0.0017023179460881918
1393,-0.0005678761842369147,-0.001703628552710744
1394,-0.0005683128037000288,-0.0017049384111000863
1395,-0.0005687491735006631,-0.0017062475205019893
1396,-0.0005691852933881133,-0.0017075558801643398
1397,-0.0005696211631123799,-0.0017088634893371397
1398,-0.000570056782424167,-0.0017101703472725011
1399,-0.0005704921510748815,-0.0017114764532246444
1400,-0.0005709272688166315,-0.0017127818064498945
